"","ukr","en","NOTES – use \n for newline","max length"
"action_if_end","Вимога — Кінцева точка","Requirement - Endpoint","",""
"actiondesc_if_end","Всі заклинання Вимоги перед цим будуть пропускати всі заклинання між ними та цим заклинанням","Any Requirement spells before this will skip all spells between them and this spell","",""
"action_if_half","Вимога — Кожне друге","Requirement - Every Other","",""
"actiondesc_if_half","Наступне заклинання пропускається кожного другого разу, коли використовується це заклинання","The next spell is skipped every other time this spell is cast","",""
"action_if_else","Вимога — Інакше","Requirement - Otherwise","",""
"actiondesc_if_else","Якщо заклинання Вимоги перед цим виявилося виконалося, наступне заклинання пропускається","If a Requirement spell before this succeeds, the next spell is skipped","",""
"action_bloodlust","Жага крові","Bloodlust","",""
"actiondesc_bloodlust","Снаряд завдає значно більше шкоди, але також може поранити вас","A projectile gains a hefty damage boost, but is also able to hurt you","",""
"action_colour_red","Червоне мерехтіння","Red Glimmer","",""
"actiondesc_colour_red","Надає снаряду червоний блискучий слід","Gives a projectile a red sparkly trail","",""
"action_colour_green","Зелене мерехтіння","Green Glimmer","",""
"actiondesc_colour_green","Надає снаряду зелений блискучий слід","Gives a projectile a green sparkly trail","",""
"action_colour_purple","Фіолетове Мерехтіння","Purple Glimmer","",""
"actiondesc_colour_purple","Надає снаряду фіолетовий блискучий слід","Gives a projectile a purple sparkly trail","",""
"action_colour_orange","Помаранчеве мерехтіння","Orange Glimmer","",""
"actiondesc_colour_orange","Надає снаряду помаранчевий блискучий слід","Gives a projectile a orange sparkly trail","",""
"action_colour_blue","Синє мерехтіння","Blue Glimmer","",""
"actiondesc_colour_blue","Надає снаряду синій блискучий слід","Gives a projectile a blue sparkly trail","",""
"action_colour_yellow","Жовте мерехтіння","Yellow Glimmer","",""
"actiondesc_colour_yellow","Надає снаряду жовтий блискучий слід","Gives a projectile a yellow sparkly trail","",""
"action_colour_invis","Невидиме заклинання","Invisible Spell","",""
"actiondesc_colour_invis","Робить снаряд невидимим","Turns a projectile invisible","",""
"action_colour_rainbow","Веселкове мерехтіння","Rainbow Glimmer","",""
"actiondesc_colour_rainbow","Надає снаряду блискучий слід випадкового кольору","Gives a projectile a randomly colored sparkly trail","",""
"status_teleportation","Телепортозис","Teleportitis","",""
"statusdesc_teleportation","Ви неконтрольовано телепортуєтеся час від часу.","You teleport uncontrollably every now and then.","",""
"status_blindness","Засліплення","Blinded","",""
"statusdesc_blindness","Ви майже нічого не бачите!","You can barely see a thing!","",""
"perkdesc_glass_cannon","Ваші заклинання у 5 разів потужніші, але ваше максимальне здоров'я скорочується 50 і не може бути збільшено нормальними серцями.","Your spells are 5 times as powerful, but your maximum health becomes 50 and cannot be increased by normal hearts.","",""
"perk_radar_item","Радар предметів","Item Radar","",""
"perkdesc_radar_item","Ви можете відчувати предмети поблизу.","You can sense nearby items.","",""
"perk_radar_moon","Місячний радар","Moon Radar","",""
"perkdesc_radar_moon","Ви можете відчувати місячну енергію.","You can sense lunar energy.","",""
"action_explosion_remove","Запобігання вибуху","Remove Explosion","",""
"actiondesc_explosion_remove","Змушує снаряд більше не вибухати","Makes a projectile no longer explode","",""
"perk_extra_potion_capacity","Додаткова місткість фляг","Extra Potion Capacity","",""
"perkdesc_extra_potion_capacity","Фляги зберігають на 80% більше рідини","Potions store 80% more liquid","",""
"perkdesc_hearts_more_extra_hp","Серця дарують додаткове максимальне здоров'я.","Hearts bestow more maximum health.","",""
"perk_vomit_rats","Спонтанна генерація","Spontaneous Generation","",""
"perkdesc_vomit_rats","Блювота поблизу вас перетворюється на помічних щурів-міньйонів","Vomit near you evolves into helpful rat minions","",""
"mat_rat_powder","Щурячий порошок","Ratty powder","",""
"mat_poo_gas","Нудотний газ","Nauseating gas","",""
"perk_revenge_rats","Щури-месники","Revenge Rats","",""
"perkdesc_revenge_rats","Коли ви отримуєте шкоду, є ймовірність, що буде викликано помічного щура-міньйона","When you take damage, there's a chance that a helpful rat minion is summoned","",""
"streamingevent_add_always_cast","Прив'язка заклинання","Always Cast","",""
"streamingeventdesc_add_always_cast","Паличка у ваших руках отримує прив'язане заклинання! (макс. 4)","Your currently-held wand gets a permanent always cast spell! (max. 4)","",""
"action_expanding_orb","Сфера, що розширюється","Expanding Sphere","",""
"actiondesc_expanding_orb","Повільний снаряд, що збільшує свою шкоду з часом","A slow projectile that increases its damage over time","",""
"action_homing_projectile","Слідування за заклинаннями","Follow Spells","",""
"actiondesc_homing_projectile","Повертає снаряд до інших заклинань-снарядів","Makes a projectile home towards other projectile spells","",""
"mat_orb_powder","Направляючий порошок","Guiding powder","",""
"action_vacuum_powder","Поле всмоктування порошку","Powder Vacuum Field","",""
"actiondesc_vacuum_powder","Всмоктує порошкоподібні матеріали поблизу і випускає їх після закінчення дії заклинання","Sucks powder-like materials nearby and releases them upon expiring","",""
"action_vacuum_liquid","Поле всмоктування рідини","Liquid Vacuum Field","",""
"actiondesc_vacuum_liquid","Всмоктує рідкі матеріали поблизу і випускає їх після закінчення дії заклинання","Sucks liquid materials nearby and releases them upon expiring","",""
"item_essence_stone","Пожирач есенції","Essence Eater","",""
"animal_physics_pata","Pata","Pata","transliterate",""
"item_wand_experimental_1","Експериментальна паличка","Experimental Wand","",""
"item_wand_experimental_2","Експериментальна паличка","Experimental Wand","",""
"booktitle_fisher","Записка алхіміка","Alchemist's Note","",""
"bookdesc_fisher","«Тут я в безпеці. Я в безпеці.\nЯ залишив інших позаду, і я замкнув свої дослідження так, щоб тільки ті, хто має справжнє розуміння, могли досягти їх.\nМені не варто хвилюватися. Допоки я протистоятиму спокусі, я буду в безпеці.\nЯ знаю свої межі. Тут я далеко від них.\n\nМені не варто хвилюватися.»","”Here I'm safe. I am safe.\nI left the others behind, and I have locked my research so that only those with real understanding can reach it.\nI should not worry. As long as I resist the temptation, I will be safe.\nI know my limits. Here I am far away from them.\n\nI should not worry.”","",""
"biome_rainforest_dark","Лігва Lukki","Lukki lair","transliterate “Lukki”",""
"mat_darkness","Зловісна рідина","Ominous liquid","",""
"action_phasing_arc","Фазова дуга","Phasing Arc","",""
"actiondesc_phasing_arc","Змушує снаряд летіти значно повільніше, але телепортує його на невеликі відстані під час польоту","Makes a projectile fly much slower, but teleport short distances over its flight","",""
"status_homing_shooter","Minä-навідні снаряди","Self-homing Spells","",""
"statusdesc_homing_shooter","Ваші заклинання деякий час повертаються до вас самих.","Your spells home towards yourself for a time.","",""
"perkdesc_lower_spread","Ваші заклинання завдають більше шкоди, мають менший розкид та підвищену затримку чаклування.","Your spells deal more damage and have lower spread and increased cast delay.","",""
"perkdesc_laser_aim","Ваші заклинання летять швидше та мають менший розкид і у вас є зручний цілевказівник для прицілювання!","Your spells fly faster and have lower spread, and you have a handy sightline for aiming!","",""
"status_drunk_ui","Магічне сп'яніння","Magic Drunkenness","",""
"statusdesc_drunk_ui","Ваші заклинання стають менш точними, а ви на деякий час стаєте більш легкозаймистими.","Your spells are less accurate and you're more flammable for a time.","",""
"status_movement_slower_ui","Уповільнений рух","Slower Movement","",""
"statusdesc_movement_slower_ui","На деякий час ви рухаєтеся повільніше.","You move slower for a time.","",""
"status_confusion_ui","Розгубленість","Confusion","",""
"statusdesc_confusion_ui","На деякий час ви рухаєтеся невпевнено.","Your movement is unsure for a time.","",""
"damage_orb_blood","Кровний зв'язок","blood link","",""
"boss_wizard_1","Ви заплуталися!","You're confused!","",""
"boss_wizard_2","Ви п'яні!","You're drunk!","",""
"boss_wizard_3","Ваше здоров'я зменшилося вдвічі!","Your health is halved!","",""
"boss_wizard_4","Ви рухаєтеся повільніше!","You move more slowly!","",""
"boss_wizard_5","Вас смикає!","You're twitchy!","",""
"boss_wizard_6","Ви ослабли!","You're weakened!","",""
"boss_wizard_7","Ви в'янете!","You're withering!","",""
"boss_wizard_8","Ваші снаряди повертаються до вас!","Your projectiles home back to you!","",""
"action_vacuum_entities","Вакуумне поле","Vacuum Field","",""
"actiondesc_vacuum_entities","Миттєво засмоктує снаряди та істот, що знаходяться поблизу, в середину поля","Sucks nearby projectiles and creatures into the middle of the field instantaneously","",""
"action_bloodtentacle","Кривавий мацак","Blood Tentacle","",""
"actiondesc_bloodtentacle","Коли цей мацак потрапляє у ворога, ворог також випускає мацак","When this tentacle hits an enemy, said enemy will also launch a tentacle","",""
"action_explosion_tiny","Концентрований вибух","Concentrated Explosion","",""
"actiondesc_explosion_tiny","Значно обмежує радіус вибуху снаряда","Limits the radius of a projectile's explosion heavily","",""
"action_liquid_to_explosion","Рідинна детонація","Liquid Detonation","",""
"actiondesc_liquid_to_explosion","Перетворює довколишні не магічні рідини на вибуховий порох","Converts nearby nonmagical liquids into explosive gunpowder","",""
"action_laser_emitter_four","Перехресний плазмовий промінь","Plasma Beam Cross","",""
"actiondesc_laser_emitter_four","Чотири смертоносних плазмових промені у формі хреста.\nОбережно, вони можуть поранити вас також!","Four deadly plasma beams in a cross-shape. Look out, they can hurt you as well!","",""
"action_laser_emitter_ray","Метальник плазмових променів","Plasma Beam Thrower","",""
"actiondesc_laser_emitter_ray","Снаряд стріляє плазмовими променями на всі боки!","A projectile fires plasma beams in all directions!","",""
"action_bounce_laser_emitter","Плазмово-промінний відскок","Plasma Beam Bounce","",""
"actiondesc_bounce_laser_emitter","Снаряд випускає плазмовий промінь при відскоку","A projectile launches a plasma beam upon bouncing","",""
"action_homing_cursor","Навідна дуга","Aiming Arc","",""
"actiondesc_homing_cursor","Снаряд повертається в той бік, куди ви цілитеся","A projectile rotates towards the direction you're aiming","",""
"booktitle_mestari","Хитрий механізм","A Cunning Contraption","",""
"bookdesc_mestari","«Секрет лежить у музиці!\n\nКлюч до небесного замка — у музиці всього світу...\n\nІ, в якомусь сенсі, як вгорі, так і внизу...»","”The secret lies in music!\n\nThe key to the heavens' lock is borne from music all over the world.\n\nAnd in a way, as above, so below...”","",""
"biome_mestari_secret","Тронної зали","Throne room","",""
"streamingevent_fireworks","Феєрверки!","Fireworks!","",""
"streamingeventdesc_fireworks","Цілком безпечно (для заданої вартості сейфа)","Entirely safe (for a given value of safe)","",""
"streamingevent_holiday_mood","Святковий настрій","Holiday Mood","",""
"streamingeventdesc_holiday_mood","Нехай іде сніг","Let it be snow","",""
"streamingeventdesc_holiday_mood_2","Нехай іде сніг","Let it snow","",""
"perk_contact_damage","Контактна шкода","Contact Damage","",""
"perkdesc_contact_damage","Вороги поруч з вами отримують шкоду. Чим менше у вас ОЗ, тим більше шкода.","Enemies near you take damage, the damage is higher the lower your health gets.","",""
"mat_metal_sand","Металевий пил","Metal dust","",""
"mat_metal_sand_molten","Розплавлений метал","Molten metal","",""
"item_evil_eye","Paha Silmä","Paha Silmä","transliterate",""
"item_description_evil_eye","Цей артефакт, подібний на око, випромінює злісне сяйво","This eye-shaped artefact projects a malevolent glare","",""
"animal_lukki_dark","Kammolukki","Kammolukki","",""
"item_wand_kiekurakeppi","Kiekurakeppi","Kiekurakeppi","Transliterate",""
"item_wand_valtikka","Valtikka","Valtikka","Transliterate",""
"action_sigma","Sigma","Sigma","Transliterate",""
"actiondesc_sigma","Копіює кожне статичне заклинання-снаряд в паличці при чаклуванні","Copies every static projectile -type spell in the wand when cast","",""
"action_tau","Tau","Tau","Transliterate",""
"actiondesc_tau","Копіює два наступних заклинання в паличці при чаклуванні","Copies the two following spells in the wand when cast","",""
"material_transformed","$0 (Перетворене)","$0 (Transformed)","This is used for the names of some alchemically created materials, e.g. blood converted into water → “Water (Transformed)”",""
"logdesc_reality_mutation","Ви чуєте, як слово «$0» відлунює і переливається кольорами","You hear the word “$0” echoing and shifting in colours","",""
"action_laser_emitter_cutter","Плазмовий різак","Plasma Cutter","",""
"actiondesc_laser_emitter_cutter","Плазмовий промінь, що спеціалізується на різанні матеріалів! Також ефективний в вбивстві ворогів... та вас.","A plasma beam specialized in cutting materials!","",""
"action_laser_emitter_wider","Підсилювач плазмового променя","Plasma Beam Enhancer","",""
"actiondesc_laser_emitter_wider","Робить промінь плазмового променя ширшим","Makes plasma beam spell's beam wider","",""
"item_chest_treasure_pacifist","Нагорода пацифіста","A Pacifist's Reward","",""
"biomemodifierdesc_high_gravity","Повітря здається важким...","The air feels heavy...","",""
"biomemodifierdesc_low_gravity","Повітря здається легким...","The air feels light...","Light as in ”not heavy”",""
"streamingevent_rain_blackhole","Гравітаційний шторм","Gravity Storm","",""
"streamingeventdesc_rain_blackhole","Поблизу вас відкривається кілька чорних дір!!!","Multiple black holes open in your vicinity!!","",""
"animal_necromancer_super","Skoude","Skoude","Transliterate",""
"input_xboxbutton_dpad_up","D-Pad вгору","D-Pad up","XBox 360 controller buttons",""
"input_xboxbutton_dpad_down","D-Pad вниз","D-Pad down","XBox 360 controller buttons",""
"input_xboxbutton_dpad_left","D-Pad ліворуч","D-Pad left","XBox 360 controller buttons",""
"input_xboxbutton_dpad_right","D-Pad праворуч","D-Pad right","XBox 360 controller buttons",""
"input_xboxbutton_back","НАЗАД","BACK","XBox 360 controller buttons",""
"input_xboxbutton_left_thumb","Ліва кнопка стіку","Left thumb","XBox 360 controller buttons",""
"input_xboxbutton_right_thumb","Права кнопка стіку","Right thumb","XBox 360 controller buttons",""
"input_xboxbutton_left_shoulder","Ліве плічко (LS)","Left shoulder","XBox 360 controller buttons",""
"input_xboxbutton_right_shoulder","Праве плічко (RS)","Right shoulder","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_moved","Лівий стік","Left stick","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_moved","Правий стік","Right stick","XBox 360 controller buttons",""
"input_xboxbutton_a","A","A","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_b","B","B","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_x","X","X","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_y","Y","Y","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_4","Кнопка #5","Button #5","XBox 360 controller buttons",""
"input_xboxbutton_5","Кнопка #6","Button #6","XBox 360 controller buttons",""
"input_xboxbutton_6","Кнопка #7","Button #7","XBox 360 controller buttons",""
"input_xboxbutton_7","Кнопка #8","Button #8","XBox 360 controller buttons",""
"input_xboxbutton_8","Кнопка #9","Button #9","XBox 360 controller buttons",""
"input_xboxbutton_9","Кнопка #10","Button #10","XBox 360 controller buttons",""
"input_xboxbutton_10","Кнопка #11","Button #11","XBox 360 controller buttons",""
"input_xboxbutton_11","Кнопка #12","Button #12","XBox 360 controller buttons",""
"input_xboxbutton_12","Кнопка #13","Button #13","XBox 360 controller buttons",""
"input_xboxbutton_13","Кнопка #14","Button #14","XBox 360 controller buttons",""
"input_xboxbutton_14","Кнопка #15","Button #15","XBox 360 controller buttons",""
"input_xboxbutton_15","Кнопка #16","Button #16","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_left","Лівий стік вліво","Left stick left","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_right","Лівий стік вправо","Left stick right","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_up","Лівий стік вгору","Left stick up","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_down","Лівий стік вниз","Left stick down","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_left","Правий стік вліво","Right stick left","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_right","Правий стік вправо","Right stick right","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_up","Правий стік вгору","Right stick up","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_down","Правий стік вниз","Right stick down","XBox 360 controller buttons",""
"input_xboxbutton_analog_00","Лівий тригер (LT)","Left trigger","XBox 360 controller buttons",""
"input_xboxbutton_analog_01","Правий тригер (RT)","Right trigger","XBox 360 controller buttons",""
"input_xboxbutton_analog_02","Аналогова кнопка #3","Analog button #3","XBox 360 controller buttons",""
"input_xboxbutton_analog_03","Аналогова кнопка #4","Analog button #4","XBox 360 controller buttons",""
"input_xboxbutton_analog_04","Аналогова кнопка #5","Analog button #5","XBox 360 controller buttons",""
"input_xboxbutton_analog_05","Аналогова кнопка #6","Analog button #6","XBox 360 controller buttons",""
"input_xboxbutton_analog_06","Аналогова кнопка #7","Analog button #7","XBox 360 controller buttons",""
"input_xboxbutton_analog_07","Аналогова кнопка #8","Analog button #8","XBox 360 controller buttons",""
"input_xboxbutton_analog_08","Аналогова кнопка #9","Analog button #9","XBox 360 controller buttons",""
"input_xboxbutton_analog_09","Аналогова кнопка #10","Analog button #10","XBox 360 controller buttons",""
"input_leftshift","Лівий Shift","left shift","keyboard inputs",""
"input_rightshift","Правий Shift","right shift","keyboard inputs",""
"controls_aim_stick","Прицілювання","aim","for options menu - rebinding controller actions",""
"controls_drop_item","(UI) Кинути предмет","(UI) drop item","for options menu - rebinding controller actions",""
"controls_drink_potion","(UI) Пити зілля","(UI) drink potion","for options menu - rebinding controller actions",""
"controls_ui_confirm","(UI) Підтвердити","(UI) confirm","for options menu - rebinding controller actions",""
"controls_ui_drag","(UI) Перетягнути","(UI) drag","for options menu - rebinding controller actions",""
"controls_takescreenshot","Зробити знімок екрана","take screenshot","label for rebinding keys in options",""
"controls_ui_quick_drag","(UI) Автоперетягування","(UI) auto drag","for options menu - rebinding dragging modifier",""
"perk_adventurer","Оздоровчі дослідження","Healthy Exploration","",""
"perkdesc_adventurer","Щоразу, коли ви відвідуєте нову область, ви зцілюєте 60 здоров'я.","Every time you visit a new area, you regain 60 health.","",""
"log_adventurer","Нова область досягнута! Ви отримуєте 60 здоров'я.","New area reached! You regain 60 health.","",""
"action_damage_forever","Мана на шкоду","Mana To Damage","",""
"actiondesc_damage_forever","Якщо паличка має більше ніж 50 мани, вся мана, що перевищує цю межу, перетворюється на додаткову шкоду","If the wand has more than 50 mana, all mana over that is converted into additional damage","",""
"action_homing_area","Зона телепортації снаряда","Projectile Area Teleport","",""
"actiondesc_homing_area","Якщо в безпосередній близькості від снаряда з'являється дійсна ціль, снаряд телепортується прямо на неї","If a valid target appears somewhere in the proximity of a projectile, the projectile will teleport right on top of the target","",""
"animal_snowcrystal","Haamukivi","Haamukivi","Transliterate",""
"ethereal_damage","Примарний дотик","Ghostly touch","",""
"animal_ethereal_being","Olematon","Olematon","Transliterate",""
"perkdesc_exploding_gold","Золото, що випадає з ворогів, вибухає коли зникає, підбирається або його торкаються інші вороги!","Gold dropped by enemies explodes when it disappears, is picked up or touched by other enemies!","",""
"action_bomb_detonator","Детонатор вибухівки","Explosive Detonator","",""
"actiondesc_bomb_detonator","Всі вибухові заклинання, застосовані вами поблизу, миттєво вибухають","All nearby explosive spells cast by you instantly detonate","",""
"logdesc_temple_upgrade_guardian","Боги розгнівані","The Gods are enraged","",""
"screenshot_saved","Збережено знімок екрана в $0","Saved a screenshot to $0","debugish message, used to tell the player that a screenshot has been taken and saved to a location on the disk",""
"item_wand_ruusu","Ruusu","Ruusu","Transliterate",""
"action_orbit_discs","Орбітальні дискові пили","Sawblade Orbit","",""
"actiondesc_orbit_discs","Змушує чотири дискові пили обертатися навколо снаряда","Makes four sawblades rotate around a projectile","",""
"action_orbit_fireballs","Орбітальні вогнекулі","Fireball Orbit","",""
"actiondesc_orbit_fireballs","Змушує чотири вогняні кулі обертатися навколо снаряда","Makes four fireballs rotate around a projectile","",""
"action_orbit_nukes","Орбітальні ядерки","Nuke Orbit","",""
"actiondesc_orbit_nukes","Змушує чотири... ядерні бомби(?!) обертатися навколо снаряда","Makes four… nukes(?!) rotate around a projectile","",""
"action_orbit_lasers","Орбітальні плазмові промені","Plasma Beam Orbit","",""
"actiondesc_orbit_lasers","Змушує чотири плазмові промені обертатися навколо снаряда","Makes four plasma beams rotate around a projectile","",""
"action_orbit_larpa","Орбіта Ларпи","Orbit Larpa","",""
"actiondesc_orbit_larpa","Змушує чотири копії снаряда обертатися навколо нього","Makes four copies of a projectile rotate around it","",""
"actiondesc_delta","Чаклує копію наступного заклинання у вашій паличці","Casts a copy of the next spell in your wand","",""
"actiondesc_gamma","Чаклує копію останнього заклинання у вашій паличці","Casts a copy of the last spell in your wand","",""
"log_greed_curse_away","Кристал розбивається!","The crystal shatters!","",""
"logdesc_greed_curse_away","Прокляття відступило, але у вас залишилися скарби, надані ним.","The curse has gone away, but so have the treasures it grants.","",""
"log_greed_curse_return","Прокляття відновлено!","The curse has reactivated!","",""
"action_slow_but_steady","Повільно, але впевнено","Slow But Steady","",""
"actiondesc_slow_but_steady","Час перезаряджання палички становить рівно 1,5 секунди","The reload time of the wand is set to exactly 1.5 seconds","",""
"actiondesc_tiny_ghost","Summons a tiny ethereal being to your help. It may cast stronger spells depending on how much damage you have suffered.","Summons a tiny ethereal being to your help. It may cast stronger spells depending on how much damage you have suffered.","The first sentence has already been translated previously. Second sentence is new.",""
"item_wandstone","Sauvan Ydin","Sauvan Ydin","Transliterate",""
"itemdesc_wandstone","Цей артефакт може відкрити вам потенціал паличок навіть без здібностей...","This artefact can open the potential of wands to you even without perks...","",""
"item_greed_die","Жадібний кубик","Greed Die","",""
"itemdesc_greed_die","Назва може бути більш влучною, ніж ви думаєте.","The name may be more apt than one thinks.","",""
"item_greed_die_good","Насолоджуйся своїм багатством!","Enjoy your riches!","",""
"item_greed_die_bad","Попався!","Gotcha!","",""
"mat_gem_box2d_turquoise","Бірюзовий дорогоцінний камінь","Turquoise gemstone","",""
"item_powder_stash","Коробка з матеріалом","Material box","",""
"itemdesc_powder_stash","Зручна коробка для перенесення порошкоподібних матеріалів.","A handy box for carrying powdery materials.","",""
"item_powder_stash_2","Торбинка","Bag","",""
"itemdesc_powder_stash_2","Зручна торбинка для перенесення порошкоподібних матеріалів.","A handy bag for carrying powdery materials.","",""
"item_powder_stash_3","Мішечок для порошків","Powder pouch","",""
"itemdesc_powder_stash_3","Зручний мішечок для перенесення порошкоподібних матеріалів.","A handy pouch for carrying powdery materials.","",""
"item_powder_stash_4","Мішечок","Sack","",""
"itemdesc_powder_stash_4","Зручний мішечок для перенесення порошкоподібних матеріалів.","A handy sack for carrying powdery materials.","",""
"item_powder_stash_with_material","$0 в коробці","$0 box","",""
"item_powder_stash_with_material_2","$0 в торбинці","$0 bag","",""
"item_powder_stash_with_material_3","$0 в мішечку","$0 pouch","",""
"item_powder_stash_with_material_4","$0 в мішечку","$0 sack","",""
"perk_hungry_ghost","Голодний привид","Hungry Ghost","",""
"perkdesc_hungry_ghost","Викликає щасливого міньйона, який час від часу з'їдатиме ворожі снаряди.","Summons a happy minion who'll eat enemy projectile every now and then, and grant you temporary extra damage.","",""
"status_damage_plus_small","Збільшення шкоди","Damage Boost","",""
"statusdesc_damage_plus_small","На деякий час збільшує вашу шкоду.","Your damage is boosted slightly for a time.","",""
"item_runestone_metal","Рунічний камінь металу","Runestone of Metal","",""
"perk_death_ghost","Скорботний дух","Mournful Spirit","",""
"perkdesc_death_ghost","Вороги після смерті залишають по собі духа, який завдає шкоди на невеликій ділянці.","Dying creatures leave behind a spirit that deals damage in a small area.","",""
"perk_risky_critical","Впритул","Close Call","",""
"perkdesc_risky_critical","Ви отримуєте додатковий шанс завдавати критичного удару, поки поруч з вами є вороги.","You gain additional chance to deal critical hits as long as there are enemies near you.","",""
"action_curse","Отруйне прокляття","Venomous Curse","",""
"actiondesc_curse","Накладає на снаряд прокляття, яке змушує ціль, в яку влучив снаряд, зникнути","Imbues a projectile with a curse that makes the target hit by the projectile to waste away","",""
"damage_hitfx_curse","Отруйне прокляття","Venomous Curse","",""
"action_exploding_ducks","Зграя качок","Flock of Ducks","",""
"actiondesc_exploding_ducks","Закликає хаотичну зграю гострих качок","Summons a chaotic flock of spicy ducks","",""
"action_money_magic","Золото в силу","Gold to Power","",""
"actiondesc_money_magic","Витрачає 5% вашого поточного золота і додає снаряду шкоди пропорційно витраченій кількості золота","Spends 5% of your current gold and adds damage to a projectile proportional to the amount spent","",""
"perkdesc_hungry_ghost","Викликає щасливого міньйона, який час від часу з'їдатиме ворожі снаряди.","Summons a happy minion who'll eat enemy projectile every now and then.","",""
"menuoptions_gamepad_analog_flying","Gamepad analog flying: $0","Gamepad analog flying: $0","Please confirm, that these are correct. Previous translations lacked the ': $0' -part from the end",""
"inventory_mod_damage_ice","Шкода льоду","Dmg. Ice","for ui some spells add damage type ice, see e.g. the entry for inventory_dmg_ice",""
"inventory_mod_damage_slice","Шкода розрізу","Dmg. Slice","for ui, some spells add damage type ice, see e.g. the entry for inventory_mod_damage_fire",""
"inventory_mod_damage_healing","Зцілення","Dmg. Healing","for ui, some spells add healing ''damage'', see e.g. the entry for inventory_mod_damage_fire",""
"inventory_mod_damage_curse","Шкода прокляття","Dmg. Curse","for ui, some spells add damage type curse, see e.g. the entry for inventory_mod_damage_fire",""
"inventory_mod_damage_drill","Шкода свердлінням","Dmg. Drill","for ui, some spells add damage type curse, see e.g. the entry for inventory_dmg_drill",""
"inventory_dmg_healing","Зцілення","Dmg. Healing","for ui, ''damage'' type for healing, see e.g. the entry for inventory_dmg_ice",""
"inventory_dmg_curse","Шкода прокляття","Dmg. Curse","for ui, damage type curse, see e.g. the entry for inventory_dmg_ice",""
"status_curse_wither_projectile","Прокляття послаблення — Снаряди","Weakening Curse - Projectiles","",""
"statusdesc_curse_wither_projectile","Ви отримуєте на 25% більше шкоди від снарядів.","You take 25% extra damage from projectiles.","",""
"status_curse_wither_explosion","Прокляття послаблення — Вибухи","Weakening Curse - Explosives","",""
"statusdesc_curse_wither_explosion","Ви отримуєте на 25% більше шкоди від вибухів.","You take 25% extra damage from explosions.","",""
"status_curse_wither_melee","Прокляття послаблення — Ближній бій","Weakening Curse - Melee","",""
"statusdesc_curse_wither_melee","Ви отримуєте на 25% більше шкоди від атак ближнього бою.","You take 25% extra damage from melee attacks.","",""
"status_curse_wither_electricity","Прокляття послаблення — Електрика","Weakening Curse - Electricity","",""
"statusdesc_curse_wither_electricity","Ви отримуєте на 25% більше шкоди від електрики.","You take 25% extra damage from electricity.","",""
"action_curse_wither_projectile","Прокляття послаблення — Снаряди","Weakening Curse - Projectiles","",""
"actiondesc_curse_wither_projectile","Ціль, в яку влучив снаряд, певний час отримує на 25% більше шкоди від снарядів","Target hit by a projectile takes 25% extra projectile damage for a time","",""
"action_curse_wither_explosion","Прокляття послаблення — Вибухи","Weakening Curse - Explosives","",""
"actiondesc_curse_wither_explosion","Ціль, в яку влучив снаряд, певний час отримує на 25% більше шкоди від вибухів","Target hit by a projectile takes 25% extra explosion damage for a time","",""
"action_curse_wither_melee","Прокляття послаблення — Ближній Бій","Weakening Curse - Melee","",""
"actiondesc_curse_wither_melee","Ціль, в яку потрапляє снаряд, певний час отримує на 25% більше шкоди від ближнього бою","Target hit by a projectile takes 25% extra melee damage for a time","",""
"action_curse_wither_electricity","Прокляття послаблення — Електрика","Weakening Curse - Electricity","",""
"actiondesc_curse_wither_electricity","Ціль, в яку потрапляє снаряд, певний час отримує на 25% більше шкоди від електрики","Target hit by a projectile takes 25% extra electricity damage for a time","",""
"action_worm_shot","Хробакова гармата","Worm Launcher","",""
"actiondesc_worm_shot","Викликає гігантського хробака, щоб на мить спричинити хаос!","Summons a giant worm to cause havoc for a moment!","",""
"action_black_hole_death_trigger","Чорна діра з активатором закінчення дії","Black Hole with Death Trigger","",""
"actiondesc_black_hole_death_trigger","Повільна сфера порожнечі, яка поглинає всі перешкоди й чаклує інше заклинання, коли закінчується","A slow orb of void that eats through all obstacles and casts another spell as it expires","",""
"perk_food_clock","Їжте ваші овочі","Eat Your Vegetables","",""
"perk_food_clock_2","Годинник їжі","Food Clock","Reference to the “hunger clock”/”food clock” game mechanic in roguelike games: https://www.gridsagegames.com/blog/2014/12/importance-roguelike-food-clocks/",""
"perkdesc_food_clock","Ви завдаєте більше шкоди, чим більше ви ситі, але ви починаєте втрачати здоров'я, якщо ваш шлунок порожній.","You inflict more damage the more satiated you are, but you start losing health if your stomach is empty.","",""
