,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
actiondesc_nolla,The duration of a projectile is set to zero,Длительность снаряда становится равной нулю,A duração de um projétil fica zerada,La duración de un proyectil cambia a cero,Die Dauer eines Projektils wird auf Null gesetzt,La durée d'un projectile est mise à zéro,La durata di un proiettile diventa zero,Czas trwania pocisków jest ustawiony na zero,投射物的持续时间变为零,放射物の寿命期間がゼロに設定されます,발사체의 지속 시간이 0이 됩니다.,,,,,,,,,,,,,
item_wand_good_1,Wand of Swiftness,Жезл быстроты,Varinha da rapidez,Varita de de celeridad,Zauberstab der Schnelligkeit,Baguette de célérité,Bacchetta di rapidità,Różdżka Szybkości,迅速魔杖,迅速の杖,민첩 완드,,,,,,,,,,,,,
item_wand_good_2,Wand of Destruction,Жезл разрушения,Varinha da destruição,Varita de destrucción,Zauberstab der Zerstörung,Baguette de destruction,Bacchetta di distruzione,Różdżka Zniszczenia,破坏魔杖,破壊の杖,파괴 완드,,,,,,,,,,,,,
item_wand_good_3,Wand of Multitudes,Жезл множеств,Varinha das multidões,Varita de multitudes,Zauberstab der Vielzahl,Baguette de multitude,Bacchetta di multitudini,Różdżka Mnogości,群体魔杖,多発の杖,군중 완드,,,,,,,,,,,,,
perkdesc_bleed_oil,"You bleed flammable oil, but are immune to fire.",Вы истекаете горючей нефтью и становитесь неуязвимы к огню.,"Você sangra petróleo inflamável, mas fica imune ao fogo.",Sangras aceite inflamable pero eres inmune al fuego.,"Du blutest brennbares Öl, bist aber immun gegen Feuer.","Vous saignez de l'huile inflammable, mais vous êtes immunisé contre le feu.","Sanguini petrolio infiammabile, ma sei immune al fuoco.","Krwawisz łatwopalną ropą, ale masz niewrażliwość na ogień.",你流血时会淌出可燃油脂，但会免疫火焰。,可燃性オイルの血が出ますが、火に対する免疫があります。,인화성 기름을 피로 흘리며 불에 면역이 됩니다.,,,,,,,,,,,,,
perkdesc_revenge_explosion,"You release a magical explosion upon taking damage, and gain 25% resistance against explosions.","Получая урон, вы вызываете магический взрыв и получаете 25% сопротивления взрывам.",Você libera uma explosão mágica quando sofre dano e ganha 25% de resistência a explosões.,Liberas una explosión mágica al recibir daño y obtienes un 25 % de resistencia contra explosiones.,"Du setzt eine magische Explosion frei, wenn du Schaden erleidest, und erhältst 25 % Widerstand gegen Explosionen.","En subissant des dégâts, vous libérez une explosion magique, vous gagnez 25 % de résistance contre les explosions.","Quando ricevi danno rilasci un'esplosione magica, e ottieni una resistenza del 25% contro le esplosioni.","Gdy poniesiesz obrażenia, wywołujesz magiczną eksplozję i zyskujesz 25% odporności na wybuchy.",受伤时产生魔法爆炸，并获得针对爆炸的 25% 耐性。,ダメージを受けると魔法の爆破を引き起こし、爆破に対する耐性を25%得ます。,대미지를 입으면 마법 폭발을 일으키며 폭발에 대해 25% 저항을 획득합니다.,,,,,,,,,,,,,
perkdesc_revenge_tentacle,"You summon a monstrous tentacle upon taking damage, and gain 25% resistance against projectiles.","Получая урон, вы призываете кошмарное щупальце и получаете 25% сопротивления снарядам.",Você libera um tentáculo monstruoso quando sofre dano e ganha 25% de resistência a projéteis.,Invocas un tentáculo monstruoso al recibir daño y obtienes un 25 % de resistencia contra proyectiles.,"Du beschwörst ein monströses Tentakel, wenn du Schaden erleidest, und erhältst 25 % Widerstand gegen Projektile.","En subissant des dégâts, vous invoquez un tentacule géant, vous gagnez 25 % de résistance contre les projectiles.","Quando ricevi danno evochi un mostruoso tentacolo, e ottieni una resistenza del 25% contro i proiettili.","Gdy poniesiesz obrażenia, przywołujesz potworną mackę i zyskujesz 25% odporności na pociski.",受伤时召唤一条巨大的触手，并获得针对投射物的 25% 耐性。,ダメージを受けると、巨大な触角を召喚し、放射物に対する耐性を25%得ます。,대미지를 입으면 무시무시한 촉수를 소환하며 발사체에 대해 25% 저항을 획득합니다.,,,,,,,,,,,,,
perkdesc_revenge_projectile,"You return projectiles back to enemies upon taking damage, and gain 20% resistance against projectiles & explosions.","Получая урон, вы отражаете снаряды в противников и получаете 20% сопротивления снарядам и взрывам.",Você devolve os projéteis aos inimigos quando sofre dano e ganha 20% de resistência a projéteis e explosões.,Devuelves los proyectiles a los enemigos al recibir daño y obtienes un 20 % de resistencia contra proyectiles.,"Du wirfst Projektile auf Gegner zurück, wenn du Schaden erleidest, und erhältst 20 % Widerstand gegen Projektile und Explosionen.","En subissant des dégâts, vous retournez les projectiles contre vos ennemies, vous gagnez 20 % de résistance contre les projectiles et les explosions.","Quando ricevi danno rispedisci i proiettili ai nemici, e ottieni una resistenza del 20% contro proiettili ed esplosioni.","Gdy poniesiesz obrażenia, odbijasz pociski z powrotem do wrogów i zyskujesz 20% odporności na pociski i wybuchy.",受伤时将投射物反弹回敌人，并获得针对投射物和爆炸的 20% 耐性。,ダメージを受けると、放射物を敵に返し、放射物と爆破に対する耐性を20%得ます。,대미지를 입으면 적에게 발사체를 되돌려주며 발사체 및 폭발에 대해 20% 저항을 획득합니다.,,,,,,,,,,,,,
perkdesc_bounce,Almost all your spells bounce around and last longer.,Почти все ваши заклинания отскакивают и длятся дольше.,Quase todos os seus feitiços ricocheteiam e duram mais tempo.,Casi todos tus hechizos rebotan y duran más.,Fast alle deine Zauber springen umher und halten länger.,Presque tous vos sorts rebondissent et persistent plus longtemps.,Quasi tutti i tuoi incantesimi rimbalzano e durano più a lungo.,Niemal wszystkie twoje zaklęcia odbijają się i trwają dłużej.,几乎你的所有法术都能够弹跳，且持续时间更久。,ほぼ全ての呪文がバウンドし、寿命が長くなります。,거의 모든 주문이 튕기며 지속 시간이 길어집니다.,,,,,,,,,,,,,
perkdesc_low_gravity,"All creatures, you included, have lower personal gravity.","У всех существ, включая вас, снижается личная гравитация.","Todas as criaturas, inclusive você, têm uma gravidade pessoal mais baixa.","Todas las criaturas, entre las que te incluyes, tienen una gravedad personal menor.","Alle Kreaturen, einschließlich dir, haben eine geringere persönliche Schwerkraft.","Toutes les créatures, vous y compris, ont une gravité personnelle plus faible.","Ogni creatura, te incluso, possiede una gravità propria minore.",Wszystkie stworzenia włącznie z tobą mają słabsze pole grawitacyjne.,包括你在内的所有生物具有较低的专属重力。,あなたを含むすべての生物のパーソナル重力が低くなります。,자신을 포함한 모든 크리처에 낮은 중력이 적용됩니다.,,,,,,,,,,,,,
log_always_cast_failed,Too many always cast spells!,Слишком много постоянных заклинаний!,Feitiços de conjuração incessante em excesso!,¡Demasiados hechizos de Lanzamiento seguro!,Zu viele Immerwirkung-Zauber!,Trop de sorts à lancer assuré !,Troppi incantesimi lancia sempre!,Zbyt wiele zawsze rzucanych zaklęć!,始终施放法术太多！,常時詠唱の呪文が多すぎます！,항상 시전 주문이 너무 많습니다!,,,,,,,,,,,,,
logdesc_always_cast_failed,This wand is already overloaded...,Этот жезл перегружен...,Esta varinha já está sobrecarregada...,Esta varita se ha sobrecargado...,Dieser Zauberstab ist bereits überladen …,Votre baguette est déjà saturée...,Questa bacchetta è già sovraccarica...,Ta różdżka jest już przeciążona...,这支魔杖已经过载了...,この杖はすでにオーバーロード状態です…,이 완드는 이미 과충전되어 있습니다...,,,,,,,,,,,,,
bookdesc07_forged,"To gain true knowledge,\n one must slow down and not hurry.","Чтобы получить истинное знание,\n нельзя спешить.","Para se obter o verdadeiro conhecimento,\n deve-se desacelerar, sem pressa.","Para obtener conocimiento verdadero,\nse debe ir despacio, sin prisa.","Um wahres Wissen zu erlangen,\nmuss man langsamer werden und sich nicht beeilen.","Pour acquérir du savoir,\n l'on doit ralentir et pas se précipiter.","Per ottenere la vera conoscenza,\n bisogna rallentare e non affrettarsi.",Droga do oświecenia\nnie nie wiedzie przez pośpiech.,要获得真知卓识，\n必须慢下脚步，不要急迫。,真の知識を得るためには、\n 急がずペースダウンする必要があります。,지식을 얻기 위해서는\n서둘러서는 안 됩니다.,,,,,,,,,,,,,
streamingeventdesc_protect_player,You become invincible for some time,На какое-то время вы становитесь неуязвимы,Você se torna invencível por um tempo,Te vuelves invencible durante un tiempo,Du wirst eine Zeit lang unverwundbar,Vous devenez invincible pendant quelque temps,Diventi invincibile per un certo periodo,Zyskujesz na jakiś czas nieśmiertelność,你一段时间内无敌,しばらくの間、無敵になります,일정 시간 동안 무적이 됩니다.,,,,,,,,,,,,,
perkdesc_projectile_homing_shooter,"Your spells arc towards you, but gain extra speed and deal extra damage.","Ваши заклинания загибаются в вашу сторону, но становятся более быстрыми и наносят больше урона.","Os seus feitiços viram-se na sua direção, mas ganham velocidade extra e causam dano extra.","Tus hechizos se arquean hacia ti, pero obtienes velocidad adicional y daño adicional.","Deine Zauber richten sich auf dich, gewinnen aber zusätzliche Geschwindigkeit und verursachen zusätzlichen Schaden.","Vos sorts divergent vers vous, mais sont plus rapides et infligent plus de dégâts.","I tuoi incantesimi curvano verso di te, ma ottengono velocità extra e infliggono più danno.","Rzucone przez ciebie zaklęcia zawracają w twoją stronę, ale są szybsze i zadają więcej obrażeń.",你的法术划出弧线向你飞来，但会获得额外的速度并造成额外伤害。,呪文があなたに向かって戻りますが、追加スピードを得て、追加ダメージを与えます。,주문이 나를 향해 아크를 그리지만 추가 속도와 대미지를 획득합니다.,,,,,,,,,,,,,
log_perk_fulltitle,$0 - $1,$0 — $1,$0 - $1,$0 - $1,$0 - $1,$1 - $0,$0 - $1,$0 – $1,$0 - $1,$0 ～ $1,$0 - $1,,,,,,,,,,,,,
action_mana_reduce,Add mana,Добавление маны,Adicionar mana,Añadir maná,Mana hinzufügen,Ajout de mana,Aggiungi mana,Dodatkowa mana,额外法力,マナを追加する,마나 추가,,,,,,,,,,,,,
actiondesc_mana_reduce,Adds 30 mana to the wand,Добавляет жезлу 30 ед. маны,Adiciona 30 de mana à varinha,Añade 30 maná a la varita,Fügt dem Zauberstab 30 Mana hinzu,Ajoute 30 points de mana à la baguette,Aggiunge 30 punti mana alla bacchetta.,Dodaje do różdżki 30 pkt. many,向魔杖增加 30 法力,30マナを杖に追加する,완드에 마나 30을 추가합니다.,,,,,,,,,,,,,
perk_protection_radioactivity,Toxic Immunity,Иммунитет к ядам,Imunidade tóxica,Inmunidad tóxica,Toxische Immunität,Immunité toxique,Immunità tossica,Niewrażliwość na toksyny,毒素免疫,毒に対する免疫,독성 면역,,,,,,,,,,,,,
perkdesc_protection_radioactivity,You take no damage from toxic sludge and other toxic things.,Вы не получаете урон от радиоактивных веществ и других ядовитых субстанций.,Você não recebe dano de lodo tóxico nem de nada que seja tóxico.,No recibes daño del barro tóxico y otros elementos tóxicos.,Du erhältst keinen Schaden durch toxischen Schlamm und andere toxische Dinge.,"La vase toxique, et les autres matières toxiques ne vous infligent pas de dégâts.",Non subisci danni da fanghi tossici e altre cose tossiche.,Nie ponosisz żadnych obrażeń od toksycznego szlamu ani innych toksycznych substancji.,毒液和其他带毒之物不会对你造成伤害。,猛毒ヘドロとその他の有毒なものからダメージを受けることがなくなります。,독성 진흙이나 기타 독성 물질로부터 대미지를 받지 않습니다.,,,,,,,,,,,,,
mat_monster_powder_test,Monstrous powder,Монструозный порошок,Pólvora monstruosa,Polvos monstruosos,Monströses Pulver,Poudre monstrueuse,Polvere mostruosa,Potworny proch,怪异粉尘,怪物粉末,괴물 가루,,,,,,,,,,,,,
action_homing_accelerating,Accelerative Homing,Скоростное наведение,Projétil guiado acelerado,Perseguidor con aceleración,Beschleunigender Zielsucher,Tir autoguidé à accélération,Autoguida accelerante,Przyspieszający naprowadzany pocisk,加速追踪,加速ホーミング,가속 유도 발사,,,,,,,,,,,,,
actiondesc_homing_accelerating,A projectile homes towards enemies at an increasing pace,Снаряд наводится на противников с нарастающим ускорением,Um projétil guiado vai ao inimigo em velocidade crescente,Los proyectiles se dirigen a los enemigos a un ritmo cada vez mayor,Ein Projektil richtet sich in zunehmendem Tempo gegen Feinde,Un projectile autoguidé cible vos ennemies en accélérant,Un proiettile insegue i nemici a velocità crescente,Pocisk jest szybciej naprowadzany na wrogów,一个投射物以更快速度向敌人追踪而去,1つの放射物がさらに速度を上げて敵に向かいます,발사체가 더 빠르게 적을 향해 유도됩니다.,,,,,,,,,,,,,
action_teleport_closer,Homebringer Teleport Bolt,Тянущая молния телепортации,Raio de teletransporte atrativo,Rayo de teletransporte hogareño,Zielsucher-Teleportblitz,Trait de téléportation rapproché,Dardo di teletrasporto del rientro,Przyciągający pocisk teleportacyjny,“归家”传送魔弹,ホームブリンガーテレポートボルト,홈브링어 텔레포트 볼트,,,,,,,,,,,,,
actiondesc_teleport_closer,Brings the target hit closer to you,"Притягивает противников, в которых попадает",Traz o alvo atingido para perto de você,Atrae al objetivo alcanzado hacia ti,Bringt das getroffene Ziel näher zu dir,Rapproche la cible de votre position,Avvicina a te il bersaglio colpito,Przyciąga uderzony cel w twoim kierunku,将被击中的目标传送到离你更近的地方,当たったターゲットをあなたの近くに連れてきます,명중한 목표가 내게 더 가까워집니다.,,,,,,,,,,,,,
action_fanning_shot,Fanning Shot,Веерный выстрел,Disparo disperso,Golpe en abanico,Fächerschüsse,Tirs en éventail,Colpo a ventaglio,Salwa wachlarzowa,飞散魔弹,ファニングショット,부채꼴 사격,,,,,,,,,,,,,
actiondesc_fanning_shot,Launches multiple projectiles in a fan-like pattern,Выпускает множество снарядов веером,Lança vários projéteis em padrão de leque,Dispara varios proyectiles en forma de abanico,Schießt mehrere Projektile in einem fächerartigen Muster ab,Lance plusieurs projectiles en éventail,Scaglia vari proiettili a ventaglio,Wystrzeliwuje wiele pocisków w formacji wachlarza,以风扇形式发射多个投射物,複数の放射物をファンのような編成で発射します,여러 발사체가 부채꼴 형태로 퍼져서 발사됩니다.,,,,,,,,,,,,,
action_projectile_fan,Spell Fan,Веер от заклинаний,Repulsão de feitiço,Hechizo de dispersión,Zauberfächer,Ventilateur à sorts,Ventaglio incantesimo,Magiczny wachlarz,法术风扇,呪文ファン,주문 부채,,,,,,,,,,,,,
actiondesc_projectile_fan,Pushes projectiles away from you,Отталкивает от вас заклинания,Repele os projéteis de você,Aleja los proyectiles,Schiebt Projektile von dir weg,Repousse les projectiles,Respinge i proiettili diretti a te,Odpycha od ciebie pociski,将投射物从你身边吹开,放射物をあなたから追い払います,발사체를 내게서 멀리 밀어냅니다.,,,,,,,,,,,,,
action_spells_to_power,Spells to Power,Мощь из заклинаний,Feitiços de poder,Hechizos para el poder,Zauber zu Kraft,Sorts en pouvoir,Incantesimi alla potenza,Zaklęcia w potęgę,法术变力量,呪文からエネルギーへ,위력의 주문,,,,,,,,,,,,,
actiondesc_spells_to_power,Converts any nearby projectiles cast by you into extra damage,Преобразует ближайшие выпущенные вами снаряды в дополнительный урон,Converte os projéteis lançados por você em dano extra,Convierte todos los proyectiles cercanos que lances en daño adicional,Wandelt alle von dir abgeschossenen Projektile in der Nähe in zusätzlichen Schaden um,Transforme les projectiles que vous lancez en dégâts supplémentaires,Converte ogni proiettile vicino lanciato da te in danno extra,Zamienia wszelkie pobliskie rzucone przez ciebie pociski na dodatkowe obrażenia,将附近自己施放的投射物转化为额外伤害,あなたが発射した近くの放射物を追加ダメージに変換します,내가 시전한 근처 발사체에 추가 대미지를 부여합니다.,,,,,,,,,,,,,
action_enemies_to_power,Essence to Power,Мощь из существа,Essência de poder,Esencia para el poder,Essenz zu Kraft,Essence en pouvoir,Essenza alla potenza,Esencja w potęgę,精华变力量,エッセンスからエネルギーへ,위력의 정수,,,,,,,,,,,,,
actiondesc_enemies_to_power,Increases a projectile's damage based on the number of creatures nearby,"Увеличивает урон снаряда в зависимости от того, сколько существ рядом с ним",Aumenta o dano do projétil baseado no número de criaturas próximas.,Aumenta el daño de un proyectil en función del número de criaturas cercanas,Erhöht den Schaden eines Projektils basierend auf der Anzahl der Kreaturen in der Nähe,Augmente les dégâts du projectile proportionnellement au nombre de créatures à proximité,Aumenta il danno di proiettile in base al numero di creature vicine,Zwiększa obrażenia zadawane przez pocisk na podstawie liczby pobliskich stworów,根据附近的生物数量，提升一个投射物的伤害,放射物のダメージを近くにいる生物の数に基づいて増加させます,발사체의 대미지가 근처에 있는 크리처 수에 따라 증가합니다.,,,,,,,,,,,,,
action_explosion_light,Magical Explosion,Магический взрыв,Explosão mágica,Explosión mágica,Magische Explosion,Explosion magique,Esplosione magica,Magiczny wybuch,魔法爆炸,魔法の爆破,마법 폭발,,,,,,,,,,,,,
actiondesc_explosion_light,A large explosion that doesn't damage the ground,"Крупный взрыв, не повреждающий землю",Uma grande explosão que não danifica do solo,Una gran explosión que no daña la superficie,"Eine große Explosion, die den Boden nicht beschädigt",Une grosse explosion qui n'endommage pas le sol,Una grande esplosione che non danneggia il terreno,"Ogromna eksplozja, która nie uszkadza podłoża",不会破坏地面的大型爆炸,地面にダメージを与えない大規模な爆破,바닥에 대미지를 주지 않는 거대한 폭발입니다.,,,,,,,,,,,,,
action_phi,Phi,Фи,Fi,Fi,Phi,Phi,Phi,Phi,斐,ファイ,파이,,Greek letter, do not translate,,,,,,,,,,
actiondesc_phi,Casts a copy of every projectile-type spell in the current wand,"Выпускает копию каждого заклинания в виде снаряда в жезле, который вы держите",Lança uma cópia de cada feitiço de tipo projétil na varinha atual,Lanza una copia de todos los hechizos de proyectiles de la varita actual,Wirkt eine Kopie jedes Zaubers vom Typ Projektil in den aktuellen Zauberstab,Lance une copie de chaque type de projectile dans la baguette actuelle,Lancia una copia di ciascun incantesimo tipo proiettile nella bacchetta attuale,Rzuca kopię każdego zaklęcia pociskowego w bieżącej różdżce,施放当前魔杖中所有投射物类型法术的复制品,現在の杖にあるそれぞれの放射物タイプの呪文のコピーを発射します,현재 완드의 모든 발사체 유형 주문을 복제하여 시전합니다.,,,,,,,,,,,,,
action_burst_x,Myriad Spell,Шквал заклинаний,Miríade de feitiços,Miríada de hechizos,Unzähliger Zauber,Sort en myriade,Miriade di incantesimi,Salwa zaklęć,无尽法术,無数の呪文,무수한 주문,,,,,,,,,,,,,
actiondesc_burst_x,Simultaneously casts as many spells as you have left uncast in your wand,"Одновременно выпускает все заклинания, которые ещё не выпущены из вашего жезла",Lança simultaneamente todos os feitiços que não tenha lançado com a varinha,Lanza simultáneamente tantos hechizos como queden por lanzar en tu varita,"Wirkt gleichzeitig so viele Zauber, wie sich ungewirkt in deinem Zauberstab befinden",Lance tous les sorts restants dans votre baguette simultanément,Lancia simultaneamente ogni incantesimo non lanciato rimasto nella tua bacchetta,Rzuca jednocześnie wszystkie zaklęcia pozostałe w różdżce,同时施放魔杖中所剩未施放的所有法术,あなたの杖にあるまだ詠唱していない呪文と同数の呪文を同時に詠唱します,완드에 남은 시전하지 않은 주문 수만큼의 주문을 동시에 시전합니다.,,,,,,,,,,,,,
action_worm_launcher,Summon Worm,Призыв червя,Evocar verme,Invocar gusano,Wurm beschwören,Invocation de ver,Evoca un verme,Przywołanie robaka,召唤蠕虫,蠕虫の召喚,애벌레 소환,,,,,,,,,,,,,
actiondesc_worm_launcher,Grabs a worm from a nether realm at high velocity for a short time,На какое-то время вытягивает из нижнего измерения быстрого червя,Agarra um verme de um domínio inferior em alta velocidade por curto período,Coge un gusano de otro reino a toda velocidad durante un corto período de tiempo,Gräbt für kurze Zeit mit hoher Geschwindigkeit einen Wurm aus einem Unterreich,Attire un ver des enfers à grande vitesse pour une courte durée,Afferra un verme da un regno inferiore ad alta velocità per un breve periodo,Przywołuje na krótki czas szybkiego robaka z odległej krainy,从下界快速抓住一只蠕虫，持续短暂时间,短時間、下の領域から高速で蠕虫をつかみます,지하 왕국의 애벌레를 짧은 시간 빠르게 붙잡습니다.,,,,,,,,,,,,,
action_spiraling_shot,Spiral Arc,Спиральный выстрел,Disparo espiral,Golpe espiral,Spiralschuss,Tir en spirale,Colpo spiralico,Spiralny strzał,螺旋魔弹,スパイラルショット,나선 사격,,,,,,,,,,,,,
actiondesc_spiraling_shot,A projectile flies in a spiralling pattern,Снаряд летит по спиралевидной траектории,O projétil voa em padrão espiral,Un proyectil vuela en espiral,Ein Projektil fliegt spiralförmig,Un projectile vole en spirale,Un proiettile viaggia con un andamento a spirale,Pocisk leci po spiralnej trajektorii,以螺旋形式飞出的投射物,放射物が螺旋状に飛びます,발사체가 나선 패턴으로 날아갑니다.,,,,,,,,,,,,,
action_orbit_shot,Orbiting Arc,Оборотный выстрел,Disparo orbital,Golpe en órbita,Umkreisender Schuss,Tirs en orbite,Colpo orbitante,Orbitujący strzał,盘旋魔弹,軌道ショット,궤도 사격,,,,,,,,,,,,,
actiondesc_orbit_shot,A projectile orbits the point of its origin,"Снаряд оборачивается вокруг места, откуда был выпущен",Um projétil orbita no seu ponto de origem,Un proyectil orbita alrededor de su origen,"Ein Projektil, das seinen Ursprungspunkt umkreist",Un projectile orbite autour de son point d'origine,Un proiettile orbita il suo punto di origine,Pocisk orbituje wokół punktu wyjściowego,围绕原点盘旋的一个投射物,放射物がその発射地点の周囲の軌道を回ります,발사체가 시작 지점을 중심으로 궤도를 그립니다.,,,,,,,,,,,,,
action_form_potion,Create potion,Создание зелья,Criar poção,Crear poción,Trank erstellen,Créer un flacon,Crea pozione,Utworzenie mikstury,创造魔药,ポーションを作り出す,포션 생성,,,,,,,,,,,,,
actiondesc_form_potion,A small vortex sucks material and forms a small potion filled with it,Небольшой вихрь затягивает материалы и создаёт зелье с самим собой внутри.,Uma pequeno vórtice atrai os materiais e forma uma pequena poção feita com eles.,Un pequeño vórtice absorbe materia y crea una pequeña poción con ella,"Ein kleiner Wirbel saugt Substanz an und bildet einen kleinen Trank, der damit gefüllt ist",Un petit vortex aspire des matériaux et les transforme en petit flacon,Un piccolo vortice risucchia materiale e forma una pozione piccola composta di esso,Mały wir wsysa materiał i tworzy z niego małą miksturę,小漩涡吸入材料，从而构成一剂小魔药,小さな渦が資材を吸い込み、それで満たされた小さなポーションを形成します,작은 볼텍스가 재료를 흡수한 뒤 작은 포션을 생성합니다.,,,,,,,,,,,,,
action_omega_disc_bullet,Summon Omega Sawblade,Призыв гигантской пилы,Evocar serras ômega,Invocar sierra Omega,Omega-Sägeblatt beschwören,Invocation de lame de scie Omega,Evoca lama omega,Przywołanie piły tarczowej Omega,召唤终结锯刃,オメガ鋸刃を召喚する,오메가 톱날 소환,,,,,,,,,,,,,
actiondesc_omega_disc_bullet,That's a lot of sawblade,Реально гигантская пила,É muita serra,Menuda sierra enorme,Das ist ein enormes Sägeblatt,"Ça, c'est de la lame de scie",Un sacco di lama,Ogromna piła tarczowa,真的是很多的锯刃,大量の鋸刃,엄청나게 많은 톱날입니다.,,,,,,,,,,,,,
action_temporary_wall,Summon Wall,Призыв стены,Evocar parede,Invocar muro,Mauer beschwören,Invocation de mur,Evoca muro,Przywołanie ściany,召唤墙壁,壁の召喚,벽 소환,,,,,,,,,,,,,
actiondesc_temporary_wall,Summons a shortlived obstacle,Призывает препятствие на короткое время,Evoca um obstáculo fugaz,Invoca un obstáculo efímero,Beschwört ein kurzlebiges Hindernis,Invoque un obstacle éphémère,Evoca un ostacolo di breve durata,Przywołuje krótko utrzymującą się przeszkodę,召唤持续时间很短的障碍物,寿命の短い障害物を召喚します,수명이 짧은 장애물을 소환합니다,,,,,,,,,,,,,
action_temporary_platform,Summon Platform,Призыв платформы,Evocar plataforma,Invocar plataforma,Plattform beschwören,Invocation de plateforme,Evoca piattaforma,Przywołanie platformy,召唤平台,台地の召喚,플랫폼 소환,,,,,,,,,,,,,
actiondesc_temporary_platform,Summons a shortlived bit of ground,Призывает кусок земли на короткое время,Evoca um pedacinho de chão fugaz,Invoca una pequeña superficie efímera,Beschwört ein kurzlebiges Stück Boden,Invoque un morceau de sol éphémère,Evoca un pezzo di terreno di breve durata,Przywołuje krótko utrzymujący się kawałek podłoża,召唤持续时间很短的一点点地面,寿命の短い小さな地面を召喚します,수명이 짧은 바닥을 소환합니다.,,,,,,,,,,,,,
action_summon_missile,Summon Missile,Призыв ракеты,Evocar míssil,Invocar misil,Rakete beschwören,Invocation de missile,Evoca missile,Przywołanie rakiety,召唤飞弹,ミサイル召喚,미사일 소환,,,,,,,,,,,,,
actiondesc_summon_missile,"Summons a homing, explosive rocket",Призывает самонаводящуюся взрывающуюся ракету,Evocar um foguete teleguiado e explosivo,Invoca un cohete perseguidor explosivo,Beschwört eine zielsuchende Sprengrakete,Invoque un missile explosif autoguidé,Evoca un missile esplosivo con autoguida,"Przywołuje naprowadzającą, wybuchową rakietę",召唤一个跟踪的爆炸性火箭,爆発性のあるホーミングロケットを召喚します,유도 폭발 로켓을 소환합니다.,,,,,,,,,,,,,
animal_maggot_tiny,Limatoukka,Лиматоукка,Limatoukka,Limatoukka,Limatoukka,Limatoukka,Limatoukka,Limatoukka,利马托乌卡,リマトウッカ,리마투카,,Transliterate,,,,,,,,,,,
animal_boss_wizard,Mestarien mestari,Местариенместари,Mestarien mestari,Mestarien mestari,Mestarien mestari,Mestarien mestari,Mestarien mestari,Mestarien mestari,梅斯塔里恩梅斯塔利,メスタリエン・メスタリ,메스타리엔 메스타리,,Transliterate,,,,,,,,,,,
animal_coward,Raukka,Раукка,Raukka,Raukka,Raukka,Raukka,Raukka,Raukka,拉乌卡,ラウッカ,라우카,,Transliterate,,,,,,,,,,,
animal_thundermage_big,Suur-Ukko,Суур-Укко,Suur-Ukko,Suur-Ukko,Suur-Ukko,Suur-Ukko,Suur-Ukko,Suur-Ukko,苏尔乌可,スウールウッコ,수우르 우코,,Transliterate,,,,,,,,,,,
animal_thunderhound,Ukkoskoira,Уккоскойра,Ukkoskoira,Ukkoskoira,Ukkoskoira,Ukkoskoira,Ukkoskoira,Ukkoskoira,乌可斯柯伊拉,ウッコスコイラ,우코스코이라,,Transliterate,,,,,,,,,,,
animal_boss_robot,Kolmisilmän silmä,Колмисильмян сильмя,Kolmisilmän silmä,Kolmisilmän silmä,Kolmisilmän silmä,Trois yeux silmä,Kolmisilmän silmä,Kolmisilmän silmä,三眼斯尔玛,コルミシルマン・シルマ,콜미실마 실마,,Transliterate,,,,,,,,,,,
animal_skygazer,Taivaankatse,Тайваанкатсе,Taivaankatse,Taivaankatse,Taivaankatse,Taivaankatse,Taivaankatse,Taivaankatse,代万恩卡忒斯,タイヴァーンカトセ,타이반카체,,Transliterate,,,,,,,,,,,
animal_gazer_big,Kolmisilmän kätyri,Колмисильмян кятури,Kolmisilmän kätyri,Kolmisilmän kätyri,Kolmisilmän kätyri,Trois yeux kätyri,Kolmisilmän kätyri,Kolmisilmän kätyri,三眼噶杜里,コルミシルマン・カトゥーリ,콜미실마 카티리,,Transliterate,,,,,,,,,,,
animal_dark_alchemist,Pahan muisto,Пахан муйсто,Pahan muisto,Pahan muisto,Pahan muisto,Pahan muisto,Pahan muisto,Pahan muisto,巴汗穆伊斯托,パハン・ムイスト,파한 무이스토,,Transliterate,,,,,,,,,,,
action_laser_emitter,Plasma beam,Лазерный луч,Raio laser,Rayo láser,Laserstrahl,Rayon laser,Raggio laser,Wiązka laserowa,激光束,レーザービーム,레이저 빔,,,,,,,,,,,,,
actiondesc_laser_emitter,"An instantaneous, dangerous beam of light","Мгновенный, смертоносный луч света",Um raio de luz instantâneo e perigoso,Un rayo de luz instantáneo y peligroso,"Ein unmittelbarer, gefährlicher Lichtstrahl",Un rayon de lumière éclair dangereux,Un fascio di luce istantaneo e pericoloso.,Natychmiast tworzy groźną wiązkę światła,即时的一束危险光线,瞬時に発射される危険なライトビーム,즉각적으로 발생하는 치명적 빔입니다.,,,,,,,,,,,,,
action_laser_emitter_thrower,Plasma show,Лазерное шоу,Show de raio laser,Espectáculo láser,Laserstrahl-Show,Spectacle de rayons lasers,Spettacolo di raggi laser,Pokaz świetlny,激光束表演,レーザービームショー,레이저빔 쇼,,,,,,,,,,,,,
